tripduration,starttime,stoptime,start station id,start station name,end station id,end station name,id,name
4399,19:50.5,33:10.3,74,Harvard Square at Mass Ave/ Dunster,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,116,359 Broadway - Broadway at Fayette Street
4386,06:52.5,19:58.7,74,Harvard Square at Mass Ave/ Dunster,20,Aquarium T Stop - 200 Atlantic Ave,363,Harrison Ave at Mullins Way
4378,20:30.3,33:29.0,74,Harvard Square at Mass Ave/ Dunster,23,Boston City Hall - 28 State St,280,Main St at Baldwin St
4374,07:57.0,20:51.4,74,Harvard Square at Mass Ave/ Dunster,52,Newbury St at Hereford St,91,One Kendall Square at Hampshire St / Portland St
4360,00:06.5,12:47.2,74,Harvard Square at Mass Ave/ Dunster,42,Boylston St at Arlington St,188,Foss Park
4339,07:58.9,20:18.3,74,Harvard Square at Mass Ave/ Dunster,20,Aquarium T Stop - 200 Atlantic Ave,69,Coolidge Corner - Beacon St at Centre St
4329,46:17.7,58:27.0,74,Harvard Square at Mass Ave/ Dunster,90,Lechmere Station at Cambridge St / First St,140,Danehy Park
4327,33:26.4,45:34.3,74,Harvard Square at Mass Ave/ Dunster,31,Seaport Hotel - Congress St at Seaport Ln,328,Grove St at Community Path
4326,48:15.3,00:22.0,74,Harvard Square at Mass Ave/ Dunster,160,Wentworth Institute of Technology - Huntington Ave at Vancouver St,,
4319,21:31.1,33:30.1,74,Harvard Square at Mass Ave/ Dunster,23,Boston City Hall - 28 State St,,
4293,08:32.1,20:05.6,74,Harvard Square at Mass Ave/ Dunster,20,Aquarium T Stop - 200 Atlantic Ave,,
4288,48:38.9,00:07.8,74,Harvard Square at Mass Ave/ Dunster,160,Wentworth Institute of Technology - Huntington Ave at Vancouver St,,
4285,07:35.3,19:00.6,74,Harvard Square at Mass Ave/ Dunster,146,Murphy Skating Rink - 1880 Day Blvd,,
4276,38:16.1,49:32.3,74,Harvard Square at Mass Ave/ Dunster,98,Warren St at Chelsea St,,
4265,47:03.1,58:08.2,74,Harvard Square at Mass Ave/ Dunster,90,Lechmere Station at Cambridge St / First St,,
4264,11:13.9,22:18.5,74,Harvard Square at Mass Ave/ Dunster,89,Harvard Law School at Mass Ave / Jarvis St,,
4258,33:47.8,44:46.1,74,Harvard Square at Mass Ave/ Dunster,52,Newbury St at Hereford St,,
4254,00:34.6,11:29.4,74,Harvard Square at Mass Ave/ Dunster,39,Washington St at Rutland St,,
4250,01:59.3,12:49.5,74,Harvard Square at Mass Ave/ Dunster,42,Boylston St at Arlington St,,
4238,02:39.9,13:18.6,74,Harvard Square at Mass Ave/ Dunster,159,S Huntington Ave at Heath St,,
4237,34:04.5,44:41.8,74,Harvard Square at Mass Ave/ Dunster,52,Newbury St at Hereford St,,
4227,10:36.5,21:03.6,74,Harvard Square at Mass Ave/ Dunster,89,Harvard Law School at Mass Ave / Jarvis St,,
4214,39:34.5,49:48.6,74,Harvard Square at Mass Ave/ Dunster,35,Arch St at Franklin St,,
4197,56:17.4,06:15.2,74,Harvard Square at Mass Ave/ Dunster,49,Stuart St at Charles St,,
